City,GNIS,Physical Address,Data Source,Building,Building Type,Square Feet,Audited,Audit Notes,Retrofits Done,Retrofit Notes,Fuel Oil,HW District,Electric,Natural Gas,Propane,Biomass,Fuel Oil Post,HW District Post,Electric Post,Natural Gas Post,Propane Post,Biomass Post,implementation cost
Alakanuk,1398042,189 ANDERSON ST,End Use Study,School,Education - K - 12,28942,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,ARIS,Alakanuk ClinicTribal Government - ANTHC,Health Care - Hospitals,1737.04,No,,,,1053.109489,,10457.59339,,,,,,,,,,
Alakanuk,1398042,0,End Use Study,Corporation Office,Office,960,No,,,,1260,,,,,,,,,,,,
Alakanuk,1398042,FALSE,ARIS,Alakanuk Tribal OfficeTribal Government - ANTHC,Office,4092,No,,,,2880.875912,,17341.65622,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Airport Electrical,Other,96,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Garage/Wood Shop,Other,410,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,ARIS,SREB Building --2523000007*Northern Region,Other,1104,No,,,,963.5036496,,6847.561628,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Remote Classroom Building,Other,1120,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Utility Building,Other,1440,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Garage/Maintenance Shop,Other,2300,Yes,Yes,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Sauna & Laundry,Other,4800,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Elementary Classroom Building,Other,9000,Yes,Yes,,,,,,,,,,,,,,,
Alakanuk,1398042,0,End Use Study,City of Alakanuk,Other,,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,City Hall,Public Assembly,1250,Yes,Yes,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Village Council,Public Assembly,,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,ARIS,Police DepartmentCity of Alakanuk,Public Safety,1350,No,,,,520.2919708,,6965.56269,,,,,,,,,,
Alakanuk,1398042,FALSE,ARIS,Sauna and LaundryCity of Alakanuk,Public Safety,4800,No,,,,4614.218978,,50756.95681,,,,,,,,,,
Alakanuk,1398042,0,End Use Study,Annex Store Garage,Retail - Other,600,No,,,,195,,,,,,,,,,,,
Alakanuk,1398042,0,End Use Study,Annex Store,Retail - Other,1600,No,,,,1920,,,,,,,,,,,,
Alakanuk,1398042,0,End Use Study,Native Store,Retail - Other,3128,No,,,,3840,,,,,,,,,,,,
Alakanuk,1398042,0,End Use Study,Annex Store Warehouse,Warehousing,720,No,,,,540,,,,,,,,,,,,
Alakanuk,1398042,0,End Use Study,Native Store Warehouse,Warehousing,720,No,,,,1800,,,,,,,,,,,,
Alakanuk,1398042,0,End Use Study,EQUIPMENT STORAGE,Warehousing,1104,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Water Treatment Plant,Water & Sewer,4200,Yes,Yes,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Water & Sewer,Water & Sewer,6500,No,,,,,,,,,,,,,,,,
Alakanuk,1398042,FALSE,Regional Planners,Washeteria,Water & Sewer,9000,Yes,Yes,,,,,,,,,,,,,,,
Alatna,1865542,FALSE,Regional Planners,Washeteria/Clinic,Health Care - Hospitals,,No,,Yes,Yes; VEEP,,,,,,,,,,,,,
Alatna,1865542,FALSE,Regional Planners,Tribal Council Office,Office,,No,,Yes,Yes; VEEP,,,,,,,,,,,,,
Alatna,1865542,FALSE,Regional Planners,Safe House,Other,,No,,Yes,Yes; VEEP,,,,,,,,,,,,,
Aleknagik,1398091,FALSE,ARIS,Aleknagik K-12 SchoolRegional Education Attendance Area,Education - K - 12,12426,No,,,,11300,,108440.976,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,Clinic,Health Care - Hospitals,3500,No,,,,3500,,17900,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,South Shore Office Building I,Office,240,No,,,,100,,,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,South Shore Office Building II,Office,600,No,,,,275,,275,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,City Office,Office,3300,No,,,,3300,,16800,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,South Shore Maintenance Building,Other,2250,No,,,,2250,,11400,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,North Shore Maintenance Building,Other,2300,No,,,,2250,,11600,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,Aleknagik Community Center,Public Assembly,1730,No,,,,700,,6400,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,Airport Stg,Warehousing,336,No,,,,,,,,,,,,,,,,
Aleknagik,1398091,0,End Use Study,Warm Storage Building,Warehousing,950,No,,,,950,,4800,,,,,,,,,,
Allakaket,1398129,FALSE,YKSD,School,Education - K - 12,19330,No,,,,20000,,174469.7143,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Clinic,Health Care - Hospitals,,No,,,,,,,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Mental Health Bldg.,Health Care - Hospitals,,No,,Yes,Yes; VEEP,,,,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,City Office,Office,,No,,Yes,Yes; VEEP,,,,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Post Office,Office,,No,,Yes,Yes; VEEP,,,,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Tribal Office,Office,,No,,Yes,Yes; VEEP,,,,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Airport Electrical,Other,96,No,,,,,,,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Shed,Other,192,No,,,,,,,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Shop,Other,510,No,,,,,,,,,,,,,,,,
Allakaket,1398129,FALSE,ARIS,SREB Building --2523000017*Northern Region,Other,2852,No,,,,,,16446.14801,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Community Hall,Public Assembly,,No,,Yes,Yes; VEEP,,,,,,,,,,,,,
Allakaket,1398129,0,End Use Study,ANICA Store,Retail - Other,1000,No,,,,,,27795,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,J&S Store,Retail - Other,,No,,,,,,,,,,,,,,,,
Allakaket,1398129,FALSE,Regional Planners,Washeteria,Water & Sewer,,Yes,Yes  (ANTHC),Yes,Planned for 2015,,,,,,,,,,,,,
Ambler,1412509,11 Ambler Ave.,End Use Study,Kobuk River Lodge,Accommodation Services,2000,No,,,,1500,,,,,,,,,,,,
Ambler,1412509,0,End Use Study,Old high school,Education - K - 12,13100,No,,,,,,140231,,,,,,,,,,
Ambler,1412509,0,End Use Study,New School,Education - K - 12,23444,No,,,,30000,,224816,,,,,,,,,,
Ambler,1412509,110 Main St.,End Use Study,Ambler Clinic,Health Care - Hospitals,5000,No,,,,4200,,66000,,,,,,,,,,
Ambler,1412509,USPS Ambler Ave.,End Use Study,Ambler Post Office,Office,480,No,,,,660,,6000,,,,,,,,,,
Ambler,1412509,0,End Use Study,City Office Building,Office,,No,,,,,,,,,,,,,,,,
Ambler,1412509,0,End Use Study,Ivisaapaat Tribal Council Office,Office,,No,,,,,,,,,,,,,,,,
Ambler,1412509,0,End Use Study,AIRPORT ELECTRICAL,Other,336,No,,,,,,,,,,,,,,,,
Ambler,1412509,0,End Use Study,Maintenance shop,Other,576,No,,,,,,,,,,,,,,,,
Ambler,1412509,FALSE,ARIS,SREB Building --2523001164*Northern Region,Other,1260,No,,,,963.5036496,,6219.055971,,,,,,,,,,
Ambler,1412509,0,End Use Study,Boiler module,Other,1275,No,,,,,,,,,,,,,,,,
Ambler,1412509,0,End Use Study,Ambler Friends Church,Public Assembly,,No,,,,,,,,,,,,,,,,
Ambler,1412509,0,End Use Study,Ambler Native Store,Retail - Other,,No,,,,,,,,,,,,,,,,
Ambler,1412509,0,End Use Study,Storage building,Warehousing,240,No,,,,,,,,,,,,,,,,
Ambler,1412509,0,End Use Study,EQUIPMENT STORAGE,Warehousing,1260,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Hotel/Camp,Accommodation Services,832,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Hotel/Camp,Accommodation Services,2340,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Hotel/Camp,Accommodation Services,3200,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Hotel/Camp,Accommodation Services,4201,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,"Tract F, Plat 75-1",End Use Study,Gymnasium and pool,Education - K - 12,13284,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,"Tract F, Plat 75-1",End Use Study,School classrooms,Education - K - 12,15048,No,,,,,,179840,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Nunamuit SchoolNorth Slope Borough,Education - K - 12,36047,No,,,,29030.48175,3008.695652,369043.3214,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Dental BuildingNorth Slope Borough,Health Care - Hospitals,2112,No,,,,,,7497.067473,,,,,,,,,,
Anaktuvuk Pass,1398235,"Blk. 10, Lt. 1; Plat 88",End Use Study,Health Center,Health Care - Hospitals,4400,No,,,,,,32960,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Office,Office,248,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Office,Office,289,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Office,Office,384,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Office,Office,1200,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Post Office,Office,1344,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Office,Office,1408,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Mayors Conference & Liason OfficeNorth Slope Borough,Office,1566,No,,,,,,13601.12241,,,,,,,,,,
Anaktuvuk Pass,1398235,Unknown,End Use Study,Fuel Station,Other,315,No,,,,,,9845,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Mixed Use -,Other,828,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Operations & Maint. ShopNorth Slope Borough,Other,3876,No,,,,,,43000.387,,,,,,,,,,
Anaktuvuk Pass,1398235,"Tract F, Plat 75-1",End Use Study,NSB Vocational Shop,Other,6480,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,"Blk 1, Lt. 6A; Plat 88-5",End Use Study,Heavy Equipment Shop,Other,7659,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Maint. And Operations ShopNorth Slope Borough,Other,16021,No,,,,3732.131387,,185695.6712,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Church,Public Assembly,1551,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,City Community  HallNorth Slope Borough,Public Assembly,2836,No,,,,,,14646.13181,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Senior Center,Public Assembly,5082,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Simon Paneak MuseumNorth Slope Borough,Public Assembly,5520,No,,,,,,11907.10716,,,,,,,,,,
Anaktuvuk Pass,1398235,"Blk. 15, Lt. 2A; Plat 85",End Use Study,USDW,Public Assembly,10108,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Police StationANAKTUVUK PASS,Public Safety,2491,No,,,,,,30578.77521,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Anaktuvuk Pass Fire DepartmentMunicipal Government/Subdivision,Public Safety,4577,No,,,,2431,,49537.44554,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Transient HousingNorth Slope Borough,Residential - Multi-Family,1828,No,,,,,,4661.041949,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Tri-PlexNorth Slope Borough,Residential - Multi-Family,3156,No,,,,,,18513.16662,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,5-PlexNorth Slope Borough,Residential - Multi-Family,5184,No,,,,,,4299.705364,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Retail/Store/Shops,Retail - Other,1656,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Retail/Store/Shops,Retail - Other,1680,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Retail/Store/Shops,Retail - Other,2880,No,,,,,,,,,,,,,,,,
ANAKTUVUK Pass,1398235,,North Slope Borough,Warehouse/Storage,Warehousing,390,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,1398235,FALSE,ARIS,Warm StorageNorth Slope Borough,Warehousing,7985,No,,,,,,1905.017145,,,,,,,,,,
Anchor Point,1412516,FALSE,Dept. of Ed,,Education - K - 12,25348,No,,,,,,,,,,,,,,,,
Anderson,1398245,FALSE,Dept. of Ed,,Education - K - 12,41066,No,,,,,,,,,,,,,,,,
Angoon,1420113," 57.501905Á , -134.585067Á",Southeast Conference/Renewable Energy Alaska Project,Raven Beaver Lodge,Accommodation Services,1360,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.499568Á , -134.585677Á",Southeast Conference/Renewable Energy Alaska Project,Teacher's Quarters,Accommodation Services,2810,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.496850Á , -134.571908Á",Southeast Conference/Renewable Energy Alaska Project,Kootznahoo Inlet Lodge,Accommodation Services,3250,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.497323Á , -134.570813Á",Southeast Conference/Renewable Energy Alaska Project,Favorite Bay Lodge,Accommodation Services,3520,,,,,,,,,,,,,,,,,
Angoon,1420113,0,End Use Study,Angoon School District Office,Education - K - 12,3400,No,,,,,,11000,,,,,,,,,,
Angoon,1420113," 57.499933Á , -134.585873Á",End Use Study,Angoon Elementary Gym,Education - K - 12,5600,No,,,,240,,,,,,,,,,,,
Angoon,1420113," 57.499933Á , -134.585873Á",End Use Study,Angoon Elementary,Education - K - 12,6175,No,,,,,,80000,,,,,,,,,,
Angoon,1420113," 57.497761Á , -134.584660Á",End Use Study,Angoon High School,Education - K - 12,24420,No,,,,,,98500,,,,,,,,,,
Angoon,1420113," 57.502316Á , -134.586159Á",Southeast Conference/Renewable Energy Alaska Project,Village Caf_,Food Service and Drinking Places,650,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.498654Á , -134.582507Á",Southeast Conference/Renewable Energy Alaska Project,Old Health Clinic,Health Care - Hospitals,1240,,,,,,,,,,,,,,,,,
Angoon,1420113,"725 Relay Rd, Angoon, AK 99820",End Use Study,Angoon Health Center,Health Care - Hospitals,6125,No,,,,,,,,,,,,,,,,
Angoon,1420113," 57.496598Á , -134.581464Á",Southeast Conference/Renewable Energy Alaska Project,Angoon Senior Center,Health Care - Nursing/Residential Care,3500,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.499624Á , -134.580086Á",Southeast Conference/Renewable Energy Alaska Project,Angoon Post Office,Office,1960,,,,,,,,,,,,,,,,,
Angoon,1420113,,Southeast Conference/Renewable Energy Alaska Project,New City Office,Office,,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.499674Á , -134.579411Á",Southeast Conference/Renewable Energy Alaska Project,ACS Microwave Station,Other,440,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.503204Á , -134.585077Á",Southeast Conference/Renewable Energy Alaska Project,IGA Cold Storage,Other,600,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.500178Á , -134.578117Á",Southeast Conference/Renewable Energy Alaska Project,USFS/DOT,Other,925,,,,,,,,,,,,,,,,,
Angoon,1420113," 57.493613Á , -134.567919Á",Southeast Conference/Renewable Energy Alaska Project,Angoon Gas Station,Other,1350,,,,,,,,,,,,,,,,,
Angoon,1420113,150 Heen Dae Street,Southeast Conference/Renewable Energy Alaska Project,City Shop,Other,2790,,,,,,,,,,,,,,,,,
