Community,Wind class to Model (within 1 mile),High Turbulence (Y/N),Phase,Proposed Capacity (kW),Proposed Generation (kWh),Distance to Resource (ft),Generation Capital Cost,Transmission CAPEX,Operational Costs / year,Expected years to operation,Identified Reason for not pursuing project,Data Source (report reference),Project Name,Lat/Long (decimal degrees)
Attu Station,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Badger,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Barrow,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Bear Creek,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Beaver,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Beluga,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Bethel,4,N,Feasibility,100,916584,0,3197985,0,0,0,,AEA 30-m met tower,,
Bettles,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Big Delta,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Big Lake,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Birch Creek,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Brevig Mission,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Buckland,3,N,Feasibility,200,466826,26800,3365000,1000000,0,2,,REF Project,"65.964132, -161.284185",Buckland Draft CDR H:\AEEE Shared Files\Wind\_RStromberg Computer Dump\Buck Deer Noor\Buckland
Buffalo Soapstone,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Butte,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Cantwell,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Central,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chalkyitsik,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chase,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chefornak,4,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Chena Ridge,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chenega Bay,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chevak,6,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Chickaloon,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chicken,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chignik,5,Y,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Chignik Lagoon,5,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chignik Lake,5,N,Reconnaissance,0,0,0,0,0,0,0,,NREL Wind Map,,
Chiniak,5,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chisana,1,N,Feasibility,0,0,0,0,0,0,0,,NREL Wind Map,,
Chistochina,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chitina,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Chuathbaluk,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Circle,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Clam Gulch,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Clark's Point,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Coffman Cove,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Cohoe,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Cold Bay,6,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Coldfoot,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
College,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Cooper Landing,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Copper Center,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Cordova,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Covenant Life,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Craig,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Crooked Creek,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Crown Point,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Deering,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Delta Junction,1,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Deltana,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Diamond Ridge,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Dillingham,3,N,0,0,0,0,0,0,0,0,,AEA 30-m met tower,,
Diomede,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Dot Lake,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Dot Lake Village,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Dry Creek,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Eagle,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Eagle Village,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Edna Bay,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Eek,3,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Egegik,4,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Eielson AFB,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ekwok,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Elfin Cove,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Elim,4,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Emmonak,2,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ester,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Eureka Roadhouse,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Evansville,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Excursion Inlet,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Fairbanks,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
False Pass,7,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Farm Loop,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Farmers Loop,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ferry,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Fishhook,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Flat,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Fort Greely,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Fort Yukon,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Four Mile Road,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Fox,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Fox River,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Fritz Creek,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Funny River,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Gakona,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Galena,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Gambell,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Game Creek,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Gateway,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Glacier View,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Glennallen,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Goldstream,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Golovin,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Goodnews Bay,5,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Grayling,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Gulkana,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Gustavus,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Haines,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Halibut Cove,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Happy Valley,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Harding-Birch Lakes,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Healy,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Healy Lake,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Hobart Bay,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Hollis,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Holy Cross,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Homer,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Hoonah,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Hooper Bay,6,N,Operational,120,539000,750,1900000,0,10700,1,,REF Project," 61.535228, -166.096689",Final Report/tech memo
Hope,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Houston,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Hughes,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Huslia,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Hydaburg,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Hyder,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Igiugig,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Iliamna,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ivanof Bay,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Juneau,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kachemak,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kake,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kaktovik,6,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Kalifornsky,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kalskag,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kaltag,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Karluk,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kasaan,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kasigluk,6,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Regional Planners,,
Kasilof,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kenai,1,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Kenny Lake,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ketchikan,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kiana,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
King Cove,7,Y,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
King Salmon,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kipnuk,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kivalina,3,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Klawock,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Klukwan,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Knik River,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Knik-Fairview,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kobuk,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kodiak,7,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Kodiak Station,#N/A,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kokhanok,6,N,Operational,0,0,0,0,0,0,0,,AEA 30-m met tower,,
Koliganek,4,N,Reconnaissance,0,0,0,0,0,0,0,,AEA 30-m met tower,,
Kongiganak,6,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Kotlik,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kotzebue,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Koyuk,2,N,Reconnaissance,0,0,0,0,0,0,0,,NREL Wind Map,,
Koyukuk,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kupreanof,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Kwethluk,2,N,Reconnaissance,0,0,0,0,0,0,0,,NREL Wind Map,,
Kwigillingok,5,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Lake Louise,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Lake Minchumina,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Lakes,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Larsen Bay,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Lazy Mountain,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Levelock,2,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Lime Village,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Livengood,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Loring,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Lowell Point,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Lower Kalskag,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Lutak,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Manley Hot Springs,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Manokotak,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Marshall,3,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
McCarthy,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
McGrath,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
McKinley Park,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Meadow Lakes,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Mekoryuk,5,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Mendeltna,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Mentasta Lake,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Mertarvik,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Metlakatla,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Minto,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Moose Creek,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Moose Pass,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Mosquito Lake,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Mountain Village,5,N,Feasibility,0,0,0,0,0,0,0,,REF Project,,
Mud Bay,5,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nabesna,5,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Naknek,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Nanwalek,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Napakiak,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Napaskiak,2,N,Reconnaissance,0,0,0,0,0,0,0,,NREL Wind Map,,
Naukati Bay,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nelchina,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nelson Lagoon,5,N,Reconnaissance,0,0,0,0,0,0,0,,NREL Wind Map,,
Nenana,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
New Allakaket,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
New Stuyahok,4,N,Reconnaissance,0,0,0,0,0,0,0,,AEA 30-m met tower,,
Newhalen,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Newtok,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Nightmute,6,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Nikiski,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nikolaevsk,2,N,Reconnaissance,0,0,0,0,0,0,0,,NREL Wind Map,,
Nikolai,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nikolski,7,N,Feasibility,65,0,0,478512.24,0,0,0,Insufficient Load,AEA 30-m met tower,,
Ninilchik,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Noatak,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nome,3,N,0,0,0,0,0,0,0,0,,NREL Wind Map,,
Nondalton,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Noorvik,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
North Pole,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Northway,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Northway Junction,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Northway Village,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nuiqsut,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nulato,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Nunam Iqua,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Nunapitchuk,3,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Old Harbor,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Oscarville,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
