Community Name,Sufficient Biomass for 30% of Non-residential buildings,"Existing project (Y,N)","Productive Forest (H,M,L)",Phase,Certainty,On Road/SE,Proposed Capacity (MMBtu/hr),Proposed Heating Oil Displaced,Estimated Capital Cost,Estimated Operation Cost,Source of Data,Heating Reference Community,Distance to Heating Reference Community,Peak Month % of total,Capacity Factor
Beaver,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,119.2590066,0.154001433,0.551498161
Bethel,No,N,L,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,0,0.141984494,0.598174523
Bettles,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,0.000059,0.154001433,0.551498161
Birch Creek,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,146.1974701,0.157645467,0.538750073
Brevig Mission,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,66.17947661,0.132870169,0.637408875
Buckland,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,75.17675825,0.132952018,0.629337066
Central,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,102.7507387,0.157645467,0.538750073
Chalkyitsik,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,183.2484033,0.157645467,0.538750073
Chefornak,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,96.41274002,0.141984494,0.598174523
Chena Hot Springs,Yes,N,M,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,62.90432461,0.157645467,0.538750073
Chenega Bay,Yes,N,H,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,FAIRBANKS,87.3277563,0.165593705,0.512890914
Chevak,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,136.7257282,0.141984494,0.598174523
Chicken,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,117.7133049,0.157645467,0.538750073
Chignik,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,177.9151649,0.138508646,0.6131856
Chignik Lagoon,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,178.6706137,0.138508646,0.6131856
Chignik Lake,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,169.9666715,0.117853457,0.709296246
Chilkat Valley,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,,0.142174014,0.597377145
Chistochina,Yes,N,H,Construction,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,30.59525573,0.156773212,0.541747573
Chitina,Yes,N,H,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,60.15551633,0.156773212,0.541747573
Chuathbaluk,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,10.0526215,0.134162209,0.633050897
Circle,Yes,N,M,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,127.0118712,0.157645467,0.538750073
Clark's Point,Yes,N,L,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,67.90594356,0.138508646,0.6131856
Coffman Cove,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,168.8408041,0.142174014,0.597377145
Cold Bay,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,0,0.117853457,0.709296246
Copper Center,Yes,N,H,Recon,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,21.77564968,0.156773212,0.541747573
Cordova,Yes,N,H,Recon,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,FAIRBANKS,4.3144495,0.165593705,0.512890914
Covenant Life,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,94.20518814,0.142174014,0.597377145
Craig,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,201.1057933,0.142174014,0.597377145
Crooked Creek,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,51.3385189,0.134162209,0.633050897
Deering,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,56.81422002,0.132952018,0.629337066
Dillingham,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,68.52264611,0.138508646,0.6131856
Diomede,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,135.4055671,0.132870169,0.637408875
Dot Lake,Yes,Y,H,Construction,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,63.20974225,0.157645467,0.538750073
Dot Lake Village,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,64.0191122,0.157645467,0.538750073
Douglas,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,1.621076914,0.142174014,0.597377145
Dry Creek,Yes,,,,,,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,64.0191122,0.157645467,0.538750073
Eagle,Yes,N,M,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,144.8221511,0.157645467,0.538750073
Eagle Village,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,147.2351732,0.157645467,0.538750073
Eek,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,41.4314553,0.141984494,0.598174523
Egegik,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,41.93676645,0.138508646,0.6131856
Ekwok,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,53.67864425,0.138508646,0.6131856
Elfin Cove,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,70.75076713,0.142174014,0.597377145
Elim,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,67.49426239,0.139272727,0.609821524
Emmonak,No,N,L,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,121.6477063,0.132870169,0.637408875
Evansville,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,0.667105867,0.154001433,0.551498161
Excursion Inlet,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,38.25541219,0.142174014,0.597377145
Eyak,Yes,N,H,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,VALDEZ,0,0.137264975,0.618741285
False Pass,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,36.69775366,0.117853457,0.709296246
Fort Yukon,Yes,Y,M,Design,H,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,167.8146855,0.157645467,0.538750073
Gakona,Yes,N,H,,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,3.217834466,0.156773212,0.541747573
Galena,Yes,Y,M,Feasibility,H,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,129.6086582,0.139272727,0.609821524
Gambell,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,197.126928,0.132870169,0.637408875
Glennallen,Yes,N,H,,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,11.88694156,0.156773212,0.541747573
Golovin,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,69.89050829,0.132870169,0.637408875
Goodnews Bay,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,116.2549792,0.141984494,0.598174523
Grayling,Yes,N,M,,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,70.7305199,0.139272727,0.609821524
Gulkana,Yes,N,H,Construction,H,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,0,0.156773212,0.541747573
Gustavus,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,47.79895361,0.142174014,0.597377145
Haines,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,74.46618271,0.142174014,0.597377145
Healy Lake,Yes,N,H,,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,35.8938028,0.157645467,0.538750073
Hobart Bay,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,69.82334447,0.142174014,0.597377145
Hollis,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,205.8492164,0.142174014,0.597377145
Holy Cross,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,43.42018116,0.134162209,0.633050897
Hoonah,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,39.86695731,0.142174014,0.597377145
Hooper Bay,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,152.4628858,0.141984494,0.598174523
Hughes,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,96.35506882,0.154001433,0.551498161
Huslia,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,159.0828288,0.154001433,0.551498161
Hydaburg,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,222.1044482,0.142174014,0.597377145
Hyder,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,232.5651643,0.142174014,0.597377145
Igiugig,Yes,N,L,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,51.70037686,0.138508646,0.6131856
Iliamna,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,96.22631307,0.138508646,0.6131856
Ivanof Bay,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,135.1828346,0.117853457,0.709296246
Juneau,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,0,0.142174014,0.597377145
Kake,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,93.13719037,0.142174014,0.597377145
Kaktovik,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,298.2311925,0.154001433,0.551498161
Kaltag,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,69.73995474,0.139272727,0.609821524
Karluk,Yes,N,L,,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,77.32135877,0.122581367,0.692858214
Kasaan,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,205.2860708,0.142174014,0.597377145
Kasigluk,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,26.00476746,0.141984494,0.598174523
Kenny Lake,Yes,N,H,Construction,H,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,39.79482061,0.156773212,0.541747573
Ketchikan,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,228.4035862,0.142174014,0.597377145
Kiana,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,58.42634656,0.132952018,0.629337066
King Cove,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,18.7022044,0.117853457,0.709296246
King Salmon,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,0,0.138508646,0.6131856
Kipnuk,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,97.85657098,0.141984494,0.598174523
Kivalina,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,77.36044988,0.132952018,0.629337066
Klawock,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,196.2443218,0.142174014,0.597377145
Klukwan,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,92.60983716,0.142174014,0.597377145
Kobuk,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,145.2748913,0.154001433,0.551498161
Kodiak,Yes,N,H,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,0,0.122581367,0.692858214
Kodiak Station,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,5.808370943,0.122581367,0.692858214
Kokhanok,Yes,Y,M,Construction,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,85.48968625,0.138508646,0.6131856
Koliganek,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,74.63107772,0.138508646,0.6131856
Kongiganak,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,69.59935688,0.141984494,0.598174523
Kotlik,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,103.3122168,0.139272727,0.609821524
Kotzebue,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,0.000059,0.132952018,0.629337066
Koyuk,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,73.70280263,0.139272727,0.609821524
Koyukuk,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,115.5048964,0.139272727,0.609821524
Kupreanof,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,115.6515175,0.142174014,0.597377145
Kwethluk,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,11.30511159,0.141984494,0.598174523
Kwigillingok,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,79.58542768,0.141984494,0.598174523
Lake Louise,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,37.20273719,0.156773212,0.541747573
Lake Minchumina,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,MCGRATH,120.1192387,0.160077771,0.530564029
Larsen Bay,Yes,N,L,,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,61.44791607,0.122581367,0.692858214
Levelock,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,29.72475977,0.138508646,0.6131856
Lime Village,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,MCGRATH,110.537184,0.160077771,0.530564029
Lower Kalskag,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,Bethel,,0.141984494,0.598174523
Lutak,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,80.8099389,0.142174014,0.597377145
Manley Hot Springs,Yes,N,H,Recon,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,134.9995159,0.154001433,0.551498161
Manokotak,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,87.55787706,0.138508646,0.6131856
Marshall,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,75.15290204,0.141984494,0.598174523
McGrath,Yes,N,H,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,MCGRATH,0,0.160077771,0.530564029
Mekoryuk,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,152.599484,0.141984494,0.598174523
Mendeltna,Yes,N,,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,40.57204301,0.156773212,0.541747573
Mentasta Lake,Yes,N,H,Construction,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,67.75385871,0.156773212,0.541747573
Mertarvik,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,91.95414707,0.141984494,0.598174523
Metlakatla,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,244.2868187,0.142174014,0.597377145
Minto,Yes,N,H,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,124.9848741,0.157645467,0.538750073
Mosquito Lake,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,97.99757728,0.142174014,0.597377145
Mountain Village,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,109.9459875,0.141984494,0.598174523
Mud Bay,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,68.63040011,0.142174014,0.597377145
Nabesna,Yes,N,,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,76.04386686,0.156773212,0.541747573
Naknek,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,12.37753601,0.138508646,0.6131856
Napakiak,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,10.0711472,0.141984494,0.598174523
Napaskiak,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,6.524295006,0.141984494,0.598174523
Naukati Bay,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,174.1237131,0.142174014,0.597377145
Nelchina,Yes,N,M,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,49.36145423,0.156773212,0.541747573
Nelson Lagoon,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,80.71337396,0.117853457,0.709296246
New Allakaket,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,40.43372239,0.154001433,0.551498161
New Stuyahok,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,57.07786488,0.138508646,0.6131856
Newhalen,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,94.65221606,0.138508646,0.6131856
Newtok,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,96.60293895,0.141984494,0.598174523
Nightmute,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,102.4756149,0.141984494,0.598174523
Nikolai,Yes,N,M,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,MCGRATH,38.57899934,0.160077771,0.530564029
Nikolski,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,294.0509491,0.117853457,0.709296246
Noatak,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,47.92141296,0.132952018,0.629337066
Nome,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,0.000059,0.132870169,0.637408875
Nondalton,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,108.7056144,0.138508646,0.6131856
Noorvik,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,42.12083028,0.132952018,0.629337066
Northway,Yes,N,H,Recon,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,119.1873836,0.156773212,0.541747573
Northway Junction,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,124.4543399,0.156773212,0.541747573
Northway Village,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,119.3093069,0.156773212,0.541747573
Nuiqsut,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BARROW,150.7643319,0.122807018,0.673153223
Nulato,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,99.26299052,0.139272727,0.609821524
Nunam Iqua,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,136.831287,0.132870169,0.637408875
Nunapitchuk,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,23.99293993,0.141984494,0.598174523
Old Harbor,Yes,N,L,,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,53.23448437,0.122581367,0.692858214
Oscarville,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,5.493324366,0.141984494,0.598174523
Ouzinkie,Yes,N,H,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,9.734149572,0.122581367,0.692858214
Paxson,Yes,N,,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,52.93042651,0.156773212,0.541747573
Pedro Bay,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,HOMER,89.52871529,0.131351186,0.646598704
Pelican,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,70.25893056,0.142174014,0.597377145
Perryville,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,147.8704302,0.117853457,0.709296246
Petersburg,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,116.1419198,0.142174014,0.597377145
Pilot Point,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,84.73026073,0.138508646,0.6131856
Pilot Station,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,86.71128593,0.141984494,0.598174523
Pitkas Point,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,98.64890151,0.141984494,0.598174523
Platinum,Yes,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,123.70216,0.141984494,0.598174523
Point Hope,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,148.2060462,0.132952018,0.629337066
Point Lay,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BARROW,178.9842539,0.122807018,0.673153223
Port Alsworth,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,HOMER,103.3257606,0.131351186,0.646598704
Port Heiden,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,142.5606175,0.138508646,0.6131856
Port Lions,Yes,N,H,,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,18.68619225,0.122581367,0.692858214
Quinhagak,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,72.7164395,0.141984494,0.598174523
Rampart,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,104.5991047,0.154001433,0.551498161
Red Devil,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,73.93796179,0.134162209,0.633050897
Ruby,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,MCGRATH,123.5951506,0.160077771,0.530564029
Russian Mission,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,59.82757407,0.134162209,0.633050897
Saint George,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,Saint PAUL,45.41607991,0.115612738,0.71609064
Saint Mary's,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,98.15447716,0.141984494,0.598174523
Saint Michael,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,46.96926566,0.139272727,0.609821524
Saint Paul,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,Saint PAUL,0,0.115612738,0.71609064
Sand Point,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,88.74683135,0.117853457,0.709296246
Savoonga,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,163.3288672,0.132870169,0.637408875
Saxman,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,232.0536162,0.142174014,0.597377145
Scammon Bay,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,145.3195498,0.141984494,0.598174523
