Community/Intertie Served,Project Name,Operational? (1=Yes/ 0=No),Continuing to Operation? (1=Yes/ 0=No),Wind Class,Assumed Capacity Factor,Phase,Proposed Capacity (kW),Proposed Generation (kWh),Distance to Resource (ft),Generation Capital Cost,Transmission CAPEX,Total Cost,Operational Costs / year,Lat/long,notes,link
Wainwright,Wainwright Wind Turbine Design,0,1,4,,Feasibility,720,1896500,7900,unknown,unknown,3857047,9000,"70.653085, -159.979841",Grantee is choosing not to advance to construction phase,http://akenergyinventory.org/catalog/entries/8362-wainwright-wind-diesel-conceptual-design-report
Akiachak,Akiachak Wind Feasibility & Conceptual Design,0,0,3,,Feasibility,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"60.915821, -161.440464",,
Akiachak,Akiachak Wind_ANCEC,0,0,5,,Feasibility,300,2628000,unknown,4250000,unknown,unknown,32830,"60.917, -161.455",,
Bethel,Bethel Wind Farm Construction (BNC land),0,0,4,,Design,unknown,unknown,unknown,unknown,unknown,unknown,62000,unknown,,
Eek,Eek Wind Feasibility,0,0,3,,Feasibility,90,163000,unknown,900000,unknown,unknown,unknown,unknown,,
Egegik,Egegik Wind Feasibility Study,0,0,4,,Feasibility,95,233000,unknown,unknown,unknown,1390000,9700,unknown,,
Elim,Elim Wind Feasibility,0,0,1,,Feasibility,200,400000,1500,unknown,unknown,2150000,18400,unknown,,
Kenai,Kenai Winds Expansion,0,0,,29.7,Reconnaissance,18000,46831000,0,unknown,unknown,46800000,unknown,"60.6765, -151.378",,
Koyuk,Koyuk Wind Phase II Feasibility,0,0,3,,Feasibility,200,350400,unknown,unknown,unknown,2150000,unknown,unknown,,
Kwethluk,Kwethluk Wind Feasibility,0,0,2,,Feasibility,150,352000,unknown,unknown,unknown,1470000,31000,unknown,,
Levelock,Levelock Wind Reconnaissance Study,0,0,3,,Reconnaissance,95,164000,25000,unknown,unknown,1021000,unknown,unknown,,
Nikolaevsk,Nikolaevsk Wind Farm Final Design,0,0,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
Scammon Bay,Scammon Bay Wind Feasibility,0,0,5,,Feasibility,200,462500,unknown,unknown,unknown,2150000,21691,"61.834, -165.553",Grantee has not proposed any generation or construction,
Tok,Chisana Mountain Wind Feasibility Project,0,0,4,,Feasibility,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
